"RSTR_FCLTY_NO","YEAR","ARCD","FCLTY_TY","RSTR_NM","DTL_ADRES","AR","USE_PSBL_NMPR","COLR_HOLD_ELEFN","COLR_HOLD_ARCNDTN","CHCK_MATTER_NIGHT_OPN_AT","INPT_TIME","MODF_TIME","RM","RN_DTL_ADRES","CHCK_MATTER_WKEND_HDAY_OPN_AT","MNGDPT_CD","CHCK_MATTER_STAYNG_PSBL_AT","XCORD","YCORD","LO","LA","DTL_POSITION","WKDAY_OPER_BEGIN_TIME","WKDAY_OPER_END_TIME","WKEND_HDAY_OPER_BEGIN_TIME","WKEND_HDAY_OPER_END_TIME","FCLTY_SCLAS"
"쉼터시설번호","년도","지역코드","시설유형 중분류","쉼터명칭","상세주소","면적","이용가능인원","냉방기보유선풍기","냉방기보유에어컨","점검사항야간개방여부","입력시간","수정시간","비고","도로명상세주소","점검사항주말휴일개방여부","관리부서코드","점검사항숙박가능여부","X좌표","Y좌표","경도","위도","위치상세","평일운영시작시간","평일운영종료시간","주말휴일운영시작시간","주말휴일운영종료시간","시설유형 소분류"
"41450030","2025","4145053000","003","은행아파트","520-0","132","103","4","3","","2021-03-19 11:06:15.000","2025-05-02 15:56:05.000","","경기도 하남시 대청로116번길 30 (창우동, 은행뉴서울아파트)","","4040250","","975534.217931","1948863.751492","127.2230637","37.5387713","","0900","1800","0900","1800","001"
"41450031","2025","4145053000","003","에코타운1단지아파트","562-0","171.6","55","2","2","","2021-03-19 11:06:15.000","2025-05-02 16:14:40.000","에어컨2대(1대는 창문형)","경기도 하남시 하남대로784번길 29","","4040250","","","","127.210374","37.541173","","0900","1800","0900","1800","001"
"4311075","2025","4311133000","003","삼항2리경로당","342-1","111","33","2","2","N","2021-03-12 10:58:30.000","2025-05-15 09:25:59.000","","충청북도 청주시 상당구 가덕면 삼항상대로 48-3","N","5720012","N","","","127.5185968","36.5327545","","1300","1700","1300","1700","001"
"4311076","2025","4311133000","003","청용1리경로당","559-1","54","16","0","1","N","2021-03-12 10:58:30.000","2025-05-15 09:26:28.000","","충청북도 청주시 상당구 가덕면 청용길 9","N","5720012","N","","","127.5412201","36.5305317","","1300","1700","1300","1700","001"
"45191305","2025","5219042000","003","내기마을노인시설","64-5","81","20","2","2","N","2021-03-19 16:46:15.000","2025-05-29 14:58:53.000","","전북특별자치도 남원시 이백면 이백내기길 7","N","4701028","N","","","127.463833","35.4561727","","0900","2100","","","001"
"48330399","2025","4833057000","002","월라마을야외쉼터","657-0","60","10","","","N","2021-03-21 13:52:33.000","2025-07-18 14:34:11.000","","경상남도 양산시 월라1길 36","N","5380117","N","1150006.401494","1709307.078854","129.15123","35.3681499","월라마을 야외쉼터","1800","2400","","","002"
"41550334","2025","4155041000","003","마전1리경로당","205-0","76","16","2","1","N","2021-03-29 17:39:35.000","2025-07-18 10:28:47.000","","경기도 안성시 삼죽면 덕계실2길 5 ","N","4080000","N","","","127.3373645","37.0347246","","0900","1800","","","001"
"41610171","2025","4161037000","003","불당리경로당","66-0","155.6","39","1","1","N","2021-03-15 15:19:23.000","2025-05-07 13:19:59.000","","경기도 광주시 남한산성면 불당길 22-3","","5540378","N","","","127.2142667","37.4576575","","1000","1700","1000","1700","001"
"41610172","2025","4161037000","003","검복리경로당","56-17","97.29","24","1","1","N","2021-03-15 15:19:23.000","2025-05-07 13:20:11.000","","경기도 광주시 남한산성면 남한산성로 532-5","","5540378","N","","","127.2040482","37.4675445","","1000","1700","1000","1700","001"
"41610173","2025","4161037000","003","산성리경로당","508-1","60","15","1","1","N","2021-03-15 15:19:23.000","2025-05-07 13:20:23.000","","경기도 광주시 남한산성면 남한산성로 767","","5540378","N","","","127.1851579","37.4777013","","1000","1700","1000","1700","001"
"41610174","2025","4161037000","003","엄미1리경로당","233-7","86.76","22","1","1","N","2021-03-15 15:19:23.000","2025-05-07 13:20:38.000","","경기도 광주시 남한산성면 회안대로1583번길 38","","5540378","N","","","127.2426148","37.474292","","1000","1700","1000","1700","001"
"41610175","2025","4161054000","003","쌍령7통(경로당)","265-1","99","23","2","2","N","2021-03-15 15:19:23.000","2025-07-02 16:25:45.000","","경기도 광주시 경충대로 1514-15","Y","5540378","N","","","127.2700569","37.405233","","0900","1900","1000","1700","001"
"47840141","2025","4784034000","003","동원2리경로당","259-0","84.52","21","3","1","N","2021-03-16 08:52:48.000","2025-07-14 10:12:54.000","","경상북도 성주군 가천면 동원2길 24 ","N","5210119","N","1060328.969175","1762875.350309","128.1681937","35.8605743","","0900","2100","0900","2100","001"
"47840142","2025","4784034000","003","마수리경로당","마수리 428","102.66","25","2","1","N","2021-03-16 08:52:48.000","2025-07-14 10:12:55.000","","경상북도 성주군 가천면 마수1길  28-1","N","5210119","N","","","128.141129","35.855979","","0900","2100","0900","2100","001"
"11110039","2025","1111063000","001","종로56가동주민센터","173-2","80","50","8","2","N","2021-03-11 16:17:25.000","2025-05-23 13:20:12.000","폭염특보 시 추가운영","서울특별시 종로구 종로35가길 19","Y","3000257","N","","","127.0050427","37.5720325","","0900","1800","","","001"
"45191306","2025","5219042000","003","강촌마을노인시설","402-0","82","20","2","2","N","2021-03-19 16:46:15.000","2025-05-29 14:59:16.000","","전북특별자치도 남원시 이백면 강태1길 40","N","4701028","N","","","127.4570253","35.4533363","","0900","2100","","","001"
